Date,Holiday
01/01/2017,New Year's Day
28/01/2017,Chinese New Year
29/01/2017,Chinese New Year (2nd day)
01/05/2017,Labor Day
10/05/2017,Wesak Day
25/06/2017,Hari Raya Aidilfitri
26/06/2017,Hari Raya Aidilfitri (2nd day)
31/08/2017,National Day
01/09/2017,Hari Raya Haji
16/09/2017,Malaysia Day
22/09/2017,Awal Muharram
18/10/2017,Deepavali
01/12/2017,Prophet Muhammad’s Birthday
25/12/2017,Christmas Day
01/01/2018,New Year's Day
16/02/2018,Chinese New Year
17/02/2018,Chinese New Year (2nd day)
01/05/2018,Labor Day
29/05/2018,Wesak Day
15/06/2018,Hari Raya Aidilfitri
16/06/2018,Hari Raya Aidilfitri (2nd day)
31/08/2018,National Day
22/09/2018,Hari Raya Haji
16/09/2018,Malaysia Day
11/09/2018,Awal Muharram
06/11/2018,Deepavali
20/11/2018,Prophet Muhammad’s Birthday
25/12/2018,Christmas Day
01/01/2019,New Year's Day
05/02/2019,Chinese New Year
06/02/2019,Chinese New Year (2nd day)
01/05/2019,Labor Day
19/05/2019,Wesak Day
05/06/2019,Hari Raya Aidilfitri
06/06/2019,Hari Raya Aidilfitri (2nd day)
31/08/2019,National Day
11/08/2019,Hari Raya Haji
01/09/2019,Awal Muharram
16/09/2019,Malaysia Day
27/10/2019,Deepavali
09/11/2019,Prophet Muhammad’s Birthday
25/12/2019,Christmas Day
